Club,Handle,Country,Region,League,Followers,(as of),Tweeted at…,Expressed some interest?,Address,Latitude,Longitude,,
Marshfield CC,@Marshfield_CC,UK,Wiltshire,WEPL,2866,2/22/2022,2/22/2022,,,,,,
St Annes CC,@StAnnesCC,UK,Lancashire,Northern Premier Cricket League,2671,2/22/2022,2/22/2022,,,,,,
Penrith CC,@PenrithCricClub,UK,Lancashire,Northern League… Westmorland League… and Eden Valley League,1480,2/22/2022,2/22/2022,,,,,,
Harlow CC,@HarlowCC,UK,Essex,Hamro Foundation Essex League… Herts & Essex Border League,2549,2/22/2022,2/22/2022,,CM17 0DJ,51.78205,0.13658,,
Cove CC,@covecc,UK,Hampshire,TVCL… Hants CL,1724,2/22/2022,2/22/2022,,,,,,
Tunbridge Wells CC,@TWCricketClub,UK,Kent,Kent Premier League,1495,2/22/2022,2/22/2022,,,,,,
New Rover CC,@NewRoverCC,UK,Yorkshire,,1976,2/22/2022,2/22/2022,,,,,,
Cuckney CC,@cuckneycc,UK,Nottinghamshire,Nottinghamshire Premier League… Bassetlaw & District Cricket League…. MDCL... EMWCL… DCCL,2714,2/22/2022,2/22/2022,,NG20 9NG,53.23291,-1.15903,,
Whitefield CC,@WhitefieldCC,UK,Lancashire,Southport & District League... Liverpool Comp Sunday,349,2/22/2022,2/22/2022,,,,,,
Goatacre CC,@GoatacreCC,UK,Wiltshire,,1696,2/22/2022,2/22/2022,,,,,,
Tillside CC,@tillsidecc,UK,Northumberland,NTSCL,918,2/23/2022,2/23/2022,,,,,,
Sowerby St Peters CC,@SowerbyStPeters,UK,Yorkshire,HCL,1027,2/23/2022,2/23/2022,,HX6 1DF,53.70415,-1.93186,,
Burghley Park CC,@BurghleyPark,UK,Lincolnshire,Huntingdonshire County Cricket League... Rutland Cricket League… Burrough Evening League,2871,2/23/2022,2/23/2022,,PE9 2NZ,52.64972,-0.47018,,
Hunslet Nelson CC,@HunsletNelsonCC,UK,Yorkshire,Bradford Premier League… Mid Yorkshire Sunday Cricket League,1133,2/23/2022,2/23/2022,,LS11 5TT,53.76007,-1.55894,,
Lintz Cricket Club,@lintzcc,UK,Northumberland,,2366,2/23/2022,2/23/2022,,,,,,
Livingston CC,@livicricket,UK,Scotland,,2288,2/23/2022,2/23/2022,,,,,,
Stamford Bridge CC,@stamfordbridgec,UK,Yorkshire,ECB Yorkshire League North... YDSCL… York Vale,1626,2/23/2022,2/23/2022,,,,,,
Alvanley CC,@AlvanleyCC,UK,Cheshire,Cheshire County League,1865,2/23/2022,2/23/2022,,,,,,
Orpington CC,@OrpingtonCC,UK,,,994,2/23/2022,2/23/2022,,,,,,
Barcelona International CC,@BcnIntlCC,Spain,,,1087,2/23/2022,2/23/2022,,,,,,
Derby Congs CC,@CongsCricket,UK,Derbyshire,DCCL,309,2/23/2022,2/23/2022,,,,,,
Menorca CC,@MenorcaCC,Spain,,,557,2/23/2022,2/23/2022,,,,,,
Oxford CC,@oxcricketclub,UK,Oxfordshire,Cherwell League… HCPCL,2425,2/23/2022,2/23/2022,,OX2 8EF,51.79299,-1.27546,,
New Farnley CC,@NewFarnleyCC,UK,Yorkshire,Bradford Premier League… Dales Council Cricket League,2132,2/23/2022,2/23/2022,,LS12 5ES,53.77977,-1.62282,,
Worfield CC,@WorfieldCC,UK,,,3901,2/23/2022,2/23/2022,,,,,,
Monmouth CC,@MonmouthCC,UK,South Wales,SEWCL,4296,2/23/2022,2/23/2022,,,,,,
Lowerhouse CC,@LowerhouseCC,UK,Lancashire,Lancashire League,6909,2/23/2022,2/23/2022,,,,,,
Stockport Georgians CC,@sgeorgianscc,UK,Cheshire,Cheshire County Cricket League,1370,2/23/2022,2/23/2022,,,,,,
Balcombe CC,@BalcombeCC,UK,Sussex,1stCentral Sussex Cricket League,1073,2/23/2022,2/23/2022,,,,,,
Newport CC,@NewportShropCC,UK,Shropshire,Shropshire County Cricket League,1511,2/23/2022,2/23/2022,,,,,,
Leicester Ivanhoe CC,@IvanhoeCC,UK,Leicestershire,L&RCL,1981,2/24/2022,3/1/2022,,LE3 3PJ,52.61945,-1.23334,,
Burbage & Stoke Golding CC,@burbage_stokecc,UK,Leicestershire,L&RCL,1132,2/24/2022,2/24/2022,,LE10 2AF,52.53167,-1.35017,,
Llanelli CC,@LlanelliCricket,UK,South Wales,SWCA,3932,2/24/2022,2/24/2022,,,,,51.66589,-1.27908
Barnards Green CC,@BGCC_Official,UK,Worcestershire,,926,2/24/2022,2/24/2022,,,,,51.74038,0.70391
Nantwich CC,@NantwichCC,UK,,,3087,2/24/2022,2/24/2022,,,,,52.64185,-1.50735
YMCA CC Dublin,@YMCACCDublin,Ireland,,,2845,2/24/2022,2/24/2022,,,,,51.60595,-1.27113
Corse & Staunton CC,@c_scc,UK,,,315,2/24/2022,2/24/2022,,,,,53.71655,-1.74248
Berkhamsted CC,@BerkoCC,UK,Hertfordshire,Herts League,2462,2/24/2022,2/24/2022,,HP4 1HE,51.76658,-0.56169,,
St Chad's Broomfield CC,@StChadsCC,UK,Yorkshire,Dales Council Cricket League,2006,2/24/2022,2/24/2022,,LS16 5JT,53.82851,-1.58458,,
Bramcote CC,@BramcoteCC,UK,Nottinghamshire,South Notts League... EMWCL,553,2/24/2022,2/24/2022,,NG9 3JP,52.93723,-1.25375,,
Woodhall Spa CC,@WoodhallSpaCC,UK,Lincolnshire,South Lincs & Border League... Lincolnshire County Board Premier League... EMWCL... Lincoln & District League... East Lindsey Cricket League,1442,2/24/2022,2/24/2022,,LN10 6QH,53.15368,-0.21972,,
Ashley CC,@CricketAshleyCC,UK,Cheshire,,900,2/24/2022,2/24/2022,,,,,52.87785,-0.77118
Woodhouses CC,@WoodhousesCC,UK,Manchester,,1334,2/24/2022,2/24/2022,,,,,53.7365,-1.40943
Duffield CC,@Duffieldcc,UK,Derbyshire,EMWCL… MDCL… DCCL,1563,2/24/2022,2/24/2022,,DE56 4JD,52.9882,-1.48626,,
Haslington CC,@HaslingtonCC,UK,Cheshire,Cheshire County Cricket League,1823,2/24/2022,2/24/2022,,,,,53.75678,-1.75247
Carsons & Mangotsfield CC,@CarsonsMangCC,UK,,,666,2/24/2022,2/24/2022,,,,,51.7108,0.60625
Baildon CC,@BaildonCC,UK,Yorkshire,Bradford Premier League… Mid Yorkshire Sunday Cricket League… Dales Council Cricket League,1459,2/24/2022,2/24/2022,,BD17 6RS,53.85661,-1.76198,,
Bentley CC,@BentleyCC_,UK,Essex,T Rippon Mid Essex Cricket League… Hamro Foundation Essex League,934,2/24/2022,2/24/2022,,CM14 5PN,51.63918,0.27333,,
Uppingham Town CC,@UTCC_,UK,Rutland,Rutland Cricket League... L&RCL… Burrough Evening League,1328,2/24/2022,2/24/2022,,LE15 9SP,52.59147,-0.73927,,
Newent CC,@NewentCricket,UK,Gloucestershire,,1015,2/24/2022,2/24/2022,,,,,53.70415,-1.93186
Enderby CC,@EnderbyCC,UK,Leicestershire,L&RCL,808,2/24/2022,2/24/2022,,LE19 4NB,52.58778,-1.20671,,
Chapel CC,@ChapelCC,UK,Derbyshire,Derbyshire & Cheshire Cricket League,910,2/25/2022,2/25/2022,,,,,53.76007,-1.55894
Hall Bower CC,@HallBowerCC,UK,Yorkshire,Huddersfield Cricket League,1741,2/25/2022,2/25/2022,,HD4 6RN,53.62483,-1.77563,,
Quick HV & CV,@HVCVQuick,Netherlands,,,2134,2/25/2022,2/25/2022,,,,,53.77977,-1.62282
Ware CC,@WareCricketClub,UK,Hertfordshire,Herts League,1522,2/25/2022,2/25/2022,,SG12 8SH,51.8228,0.05741,,
Aberystwyth CC,@AberCC,UK,North Wales,,1066,2/25/2022,2/25/2022,,,,,52.53167,-1.35017
Warley CC,@WarleyCC,UK,Yorkshire,HCL,756,2/25/2022,2/25/2022,,HX2 7RQ,53.7196,-1.91467,,
SBCI CC,@SBCI_CC,UK,Yorkshire,,1452,2/25/2022,2/25/2022,,,,,53.82851,-1.58458
Penzance CC,@PenzanceCricket,UK,Cornwall,,2186,2/25/2022,2/25/2022,,,,,52.93723,-1.25375
Cheadle Hulme Ladybridge CC,@CHLadybridge,UK,Cheshire,,1982,2/25/2022,2/25/2022,,,,,53.15368,-0.21972
