Club,Handle,Country,Region,League,Followers,(as of),Tweeted at…,Expressed some interest?,Address,Latitude,Longitude,,
North Kilworth CC,@CcKilworth,UK,Leicestershire,L&RCL,166,5/16/2022,,,LE17 6HF,,,,
Travellers CC,@TravellersLCC,UK,Leicestershire,,218,5/16/2022,,,,,,,
Blaby Village CC,@blabyvillagecc,UK,Leicestershire,L&RCL,92,5/16/2022,,,LE8 4GB,,,,
Leicester Foxes CC,@leicfoxescc,UK,Leicestershire,L&RCL,83,5/16/2022,,,LE1 7RJ,,,,
Harborough South CC,@SouthCc,UK,,,54,5/16/2022,,,,,,,
University of Leicester Staff CC,@officialULSCC,UK,Leicestershire,,17,5/16/2022,,,,,,,
Nabipur CC,@NabipurCC,UK,Leicestershire,L&RCL,29,5/16/2022,,,LE3 3BD,,,,
Market Bosworth CC,@MBosworthCClub,UK,Leicestershire,L&RCL,58,5/16/2022,,,CV13 6PD,,,,
Stapleton CC,@StapletonClub,UK,Leicestershire,L&RCL,37,5/16/2022,,,LE9 8JU,,,,
Hinckley Town CC,@HinckleyTowncc,UK,Leicestershire,GMCA,90,5/16/2022,,,LE10 3DR,,,,
Gumley CC,@gumleycc,UK,Leicestershire,L&RCL,296,5/16/2022,,,LE16 7RX,,,,
Medbourne CC,@MedbourneCC,UK,Leicestershire,L&RCL,635,5/16/2022,,,LE16 8DR,,,,
Wakerley & Barrowden CC,@BarrowdenCC,UK,Rutland,L&RCL… Burrough Evening League… GMCA,559,5/16/2022,,,LE15 8EP,,,,
Parkend CC,@ParkendCC,UK,,GCCL… CGF,314,5/18/2022,,,,,,,
Ruarden Hill CC,@ruardeanhillcc,UK,,GCCL… CGF,544,5/18/2022,,,,,,,
Tormarton CC,@tormartoncc,UK,,Stroud & District Cricket League,180,5/18/2022,,,,,,,
Upton St Leonards CC,@USL_CC,UK,Gloucestershire,GCCL… CGF,631,5/18/2022,,,,,,,
Cirencester CC,@CirencesterCC,UK,Gloucestershire,,979,5/18/2022,,,,,,,
Cam CC,@camcricketclub,UK,Gloucestershire,,744,5/18/2022,,,,,,,
Hambrook CC,@HambrookCC,UK,,,756,5/18/2022,,,,,,,
Randwick CC,@RandwickCC,UK,,Stroud Premier League,338,5/18/2022,,,,,,,
Langford CC,@Langford_CC,UK,Oxfordshire,,807,5/18/2022,,,,,,,
Stoke Gifford CC,@StokeGiffordCC,UK,,B&D,444,5/18/2022,,,,,,,
Cleeve CC,@CleeveCC,UK,Somerset,,1091,5/18/2022,,,,,,,
The Fram CC,@TheFramCC,UK,,,928,5/18/2022,,,,,,,
Coalpit Heath CC,@CoalpitHeathCC,UK,Gloucestershire,,1057,5/18/2022,,,,,,,
Long Ashton CC,@LongAshtonCC,UK,,,977,5/18/2022,,,,,,,
Hanham CC,@HanhamCC,UK,,B&D,948,5/18/2022,,,,,,,
Frenchay CC,@FrenchayCC,UK,,,1503,5/18/2022,,,,,,,
Bradley Stoke CC,@bradleystokecc,UK,,,833,5/18/2022,,,,,,,
Bedminster CC,@bedminstercc,UK,,,1559,5/18/2022,,,,,,,
Thornbury CC,@ThornburyCC,UK,Yorkshire,Dales Council Cricket League,956,5/18/2022,,,LS28 8HA,,,,
Downend CC,@DownendCricket,UK,,,1568,5/18/2022,,,,,,,
Clevedon CC,@ClevedonCricket,UK,Somerset,WEPL,1767,5/18/2022,,,,,,,
Rollesby CC,@RollesbyCC,UK,Norfolk,Norfolk Cricket League,376,5/18/2022,,,NR29 5DR,,,,
Garboldisham CC,@GarboldishamCC,UK,Norfolk,Norfolk Cricket Alliance... Norfolk Cricket League… Norfolk Over 40s Social League,1008,5/18/2022,,,IP22 2SJ,,,,
Reepham & Salle CC,@Reepham_SalleCC,UK,Norfolk,Norfolk Cricket League... Norfolk Cricket Alliance… MNSCL… Norfolk Over 40s Social League,699,5/18/2022,,,NR10 4SE,,,,
Bradenham CC Bears,@BCCbears,UK,Norfolk,Norfolk Cricket Alliance,993,5/18/2022,,,IP25 7QL,,,,
Swaffham CC,@SwaffhamCricket,UK,Norfolk,Norfolk Cricket Alliance... Norfolk Cricket League… MNSCL,812,5/18/2022,,,PE37 7NT,,,,
Diss CC,@DissCC,UK,Norfolk,Norfolk Cricket Alliance... Norfolk Cricket League… MNSCL,1403,5/18/2022,,,IP22 4HA,,,,
Horsford CC,@HorsfordCC,UK,Norfolk,EAPL… Norfolk Cricket Alliance… Norfolk Cricket League,1783,5/18/2022,,,NR10 3AQ,,,,
Old Buckenham CC,@OldBuckenhamCC,UK,Norfolk,EAPL... Norfolk Cricket Alliance… MNSCL,1587,5/18/2022,,,NR17 1PQ,,,,
Sprowston CC,@SprowstonCC,UK,Norfolk,Norfolk Cricket Alliance... Norfolk Cricket League… MNSCL… Norfolk Over 40s Social League,1417,5/18/2022,,,NR7 8QZ,,,,
Great Melton CC,@GreatMeltonCC,UK,Norfolk,Norfolk Cricket Alliance... Norfolk Cricket League… MNSCL… Norfolk Over 40s Social League,1118,5/18/2022,,,NR9 3BJ,,,,
Dereham CC,@DerehamCC,UK,Norfolk,Norfolk Cricket Alliance… MNSCL,1192,5/18/2022,,,NR20 3AR,,,,
Acle CC,@aclecc,UK,Norfolk,Norfolk Cricket Alliance... Norfolk Cricket League… MNSCL… Norfolk Over 40s Social League,1201,5/18/2022,,,NR13 3RA,,,,
Stow CC,@StowCricketClub,UK,Norfolk,Norfolk Cricket Alliance… MNSCL,734,5/18/2022,,,PE34 3HU,,,,
Brooke CC,@brookeccnorwich,UK,Norfolk,Norfolk Cricket Alliance... Norfolk Cricket League… MNSCL,1267,5/18/2022,,,NR15 1DX,,,,
Norwich CC,@norwichcric,UK,Norfolk,Norfolk Cricket Alliance… MNSCL,2272,5/18/2022,,,NR13 5HL,,,,
Saxlingham CC,@SaxlinghamCC,UK,Norfolk,Norfolk Cricket Alliance... MNSCL,636,5/18/2022,,,NR15 1TD,,,,
Mattishall CC,@MattishallCC,UK,Norfolk,Norfolk Cricket Alliance… MNSCL,1043,5/18/2022,,,NR20 3JY,,,,
AB Wanderers CC,@ABWanderers,UK,Norfolk,MNSCL,852,5/18/2022,,,NR12 8AU,,,,
Colney CC,@ColneyCC,UK,Norfolk,Norfolk Cricket League,494,5/18/2022,,,NR4 6PP,,,,
Bungay CC,@BungayCC,UK,Norfolk,Norfolk Cricket Alliance... Norfolk Cricket League… MNSCL,530,5/18/2022,,,NR35 2RU,,,,
Martham CC,@MarthamCC1,UK,Norfolk,Norfolk Cricket Alliance... Norfolk Cricket League… MNSCL,718,5/18/2022,,,NR29 4SP,,,,
St Andrews CC,@StAndrews_CC,UK,Norfolk,Norfolk Cricket League… MNSCL,742,5/18/2022,,,NR13 5HL,,,,
Bradfield CC,@BradfieldCC1885,UK,Norfolk,Norfolk Cricket Alliance… MNSCL… Norfolk Over 40s Social League,1048,5/18/2022,,,NR28 0QW,,,,
Terrington St Clement CC,@Terrington_CC,UK,Norfolk,MNSCL,357,5/18/2022,,,,,,,
East Huntspill CC,@EastHuntspillCC,UK,Somerset,,495,5/18/2022,,,,,,,
Huntspill CC,@HuntspillCC,UK,Somerset,Monmouth Scientific Somerset Cricket League,720,5/18/2022,,,,,,,
Butleigh CC,@ButleighCC,UK,Somerset,Somerset Premier Division,508,5/18/2022,,,,,,,
Harptree Villages CC,@HVCCofficial,UK,,,250,5/18/2022,,,,,,,
Cheddar CC,@CheddarCricket,UK,Somerset,SCL,722,5/18/2022,,,,,,,
North Perrott CC,@NorthPerrottCC,UK,,,1100,5/18/2022,,,,,,,
Shapwick & Polden CC,@SandP_cricket,UK,,,670,5/18/2022,,,,,,,
Bridgwater CC,@BridgyCC,UK,Somerset,,2114,5/18/2022,,,,,,,
Ilminster CC,@Ilminstercc,UK,,,1154,5/18/2022,,,,,,,
Burnham-on-Sea CC,@BurnhamonseaCC,UK,Somerset,,486,5/18/2022,,,,,,,
Bath CC,@bathcricket,UK,,,4127,5/18/2022,,,,,,,
Nailsea CC,@NailseaCricket,UK,Somerset,,629,5/18/2022,,,,,,,
Shirehampton CC,@ShirehamptonCC,UK,,Bristol & District league,272,5/18/2022,,,,,,,
Chew Magna CC,@Chew_MagnaCC,UK,,,835,5/18/2022,,,,,,,
Keynsham CC,@KCCNewsDesk,UK,,,1619,5/18/2022,,,,,,,
Backwell Flax Bourton CC,@BFBCC,UK,Somerset,,492,5/18/2022,,,,,,,
Brislington CC,@BrislingtonCC,UK,,,1143,5/18/2022,,,,,,,
Bishopston CC,@BishopstonCC,UK,,West of England Premier League… Bristol & District Cricket League,918,5/18/2022,,,,,,,
Golden Hill CC,@GoldenHillCC,UK,,,1340,5/18/2022,,,,,,,
Stapleton CC,@StapletonCC,UK,,,700,5/18/2022,,,,,,,
Bristol CC Youth,@BristolCCYouth,UK,,,363,5/18/2022,,,,,,,
Old Bristolians Westbury CC,@OBWCC,UK,,,784,5/18/2022,,,,,,,
Chilcompton Sports CC,@Chilcomptoncc,UK,Somerset,,380,5/18/2022,,,,,,,
Twyford House CC,@TwyfordHouseCC,UK,,,1046,5/18/2022,,,,,,,
Timsbury CC,@TimsburyCC,UK,,,922,5/18/2022,,,,,,,
Midsomer Norton CC,@MidNortonCC,UK,,,1172,5/18/2022,,,,,,,
Hinton Charterhouse CC,@HintonCCC,UK,,WCCL,1090,5/18/2022,,,,,,,
Warminster CC,@WarminsterCC,UK,Wiltshire,WCCL,1174,5/18/2022,,,,,,,
Trowbridge CC,@trowbridgecc,UK,,,1419,5/18/2022,,,,,,,
Box CC,@BoxCricketClub,UK,,,1001,5/18/2022,,,,,,,
Royal Wootton Bassett CC,@WBCricketClub,UK,,West of England Premier League,1550,5/18/2022,,,,,,,
Chippenham CC,@chippenhamcc,UK,Wiltshire,,1997,5/18/2022,,,,,,,
Great Bedwyn CC,@GreatBedwynCC,UK,Wiltshire,Wiltshire League,1037,5/18/2022,,,,,,,
Potterne CC,@Potternecc,UK,Wiltshire,West of England Premier League,1852,5/18/2022,,,,,,,
Swindon CC,@swindoncricket,UK,,,2026,5/18/2022,,,,,,,
Burbage & ER CC,@BurbageERCC,UK,Wiltshire,West of England Premier League,1347,5/18/2022,,,,,,,
Keevil CC,@KeevilCC,UK,Wiltshire,Wiltshire Cricket League,508,5/18/2022,,,,,,,
Grittleton CC,@GrittletonCC,UK,,,379,5/18/2022,,,,,,,
Biddestone CC,@BiddestoneCC,UK,Wiltshire,WEPL… WCCL,1306,5/18/2022,,,,,,,
Nationwide House CC,@nationwidehouse,UK,Wiltshire,Wiltshire League… Swindon Midweek League,602,5/18/2022,,,,,,,
Marlborough CC,@MarlboroughCC,UK,Wiltshire,WCCL,1481,5/18/2022,,,,,,,
Devizes CC,@DevizesCC,UK,Wiltshire,,1085,5/18/2022,,,,,,,
Collingbourne CC,@CollingbourneCc,UK,,Hants CL,350,5/18/2022,,,,,,,
Winsley CC,@winsleycc,UK,Wiltshire,,776,5/18/2022,,,,,,,
Calne CC,@CalneCC,UK,,,482,5/18/2022,,,,,,,
Averbury CC,@AveburyCC,UK,Wiltshire,WEPL… WCCL,579,5/18/2022,,,,,,,
Erlestoke & Coulston CC,@erlestokeccc,UK,Wiltshire,Wiltshire County League,395,5/18/2022,,,,,,,
Bishops Cannings CC,@BishopsCCC,UK,,,593,5/18/2022,,,,,,,
Heytesbury & Sutton Veny CC,@HSVCC1,UK,Wiltshire,Wiltshire League,257,5/18/2022,,,,,,,
Cricklade CC,@crickladecc,UK,,,458,5/18/2022,,,,,,,
Bathford CC,@BathfordCC,UK,,,195,5/18/2022,,,,,,,
Christian Malford CC,@TheMightyMalf,UK,,WCCL,116,5/18/2022,,,,,,,
Ramsbury CC,@ramsbury_cc,UK,,,86,5/18/2022,,,,,,,
Wiltshire CCC,@wiltsccc_scores,UK,Wiltshire,,487,5/18/2022,,,,,,,
Allington CC,@allingtoncc,UK,,,174,5/18/2022,,,,,,,
Bear Flat CC,@BearFlatCC,UK,Somerset,Wiltshire League… North Somerset League,885,5/18/2022,,,,,,,
Beckington CC,@BeckingtonCC,UK,,WCCL,797,5/18/2022,,,,,,,
Bradford on Avon CC,@BoACricketClub,UK,Wiltshire,,1160,5/18/2022,,,,,,,
Buscot Park CC,@BuscotParkCC,UK,Wiltshire,Wiltshire League,475,5/18/2022,,,,,,,
Coventry & North Warwickshire CC,@CNWCricket,UK,Warwickshire,Warwickshire Premier League,465,5/18/2022,,,,,,,
Urchfont CC,@UrchfontCC,UK,,,343,5/18/2022,,,,,,,
Westbury & District CC,@WestburyDistCC,UK,Wiltshire,West of England Premier League,308,5/18/2022,,,,,,,
Sherston Magna CC,@SherstonMagnaCC,UK,Wiltshire,,414,5/18/2022,,,,,,,
Melksham CC,@MelkshamCricket,UK,Wiltshire,Wiltshire Cricket League,1315,5/18/2022,,,,,,,
Swindon United Churches CC,@UtdChurchesCC,UK,Wiltshire,Wiltshire League… Swindon Midweek League,805,5/18/2022,,,,,,,
Beehive CC,@CCBeehive,UK,Wiltshire,Wiltshire Cricket League,352,5/18/2022,,,,,,,
Wells CC,@WellsCC1,UK,Somerset,,487,5/23/2022,,,,,,,
North Newton CC,@NorthNewtonCC,UK,Somerset,,383,5/23/2022,,,,,,,
Taunton Deane CC,@tauntondeanecc,UK,,WEPL,2165,5/23/2022,,,,,,,
Watchet CC,@Watchetcc,UK,,,298,5/23/2022,,,,,,,
Castle Cary CC,@CastleCaryCC,UK,Somerset,Somerset Cricket League,405,5/23/2022,,,,,,,
Middlezoy CC,@ClubMiddlezoy,UK,Somerset,,120,5/23/2022,,,,,,,
Kilmington and Stourton CC,@KSCC_Cricket,UK,Somerset,Somerset Cricket League,111,5/23/2022,,,,,,,
Wombats CC,@WombatsCC,UK,Somerset,,334,5/23/2022,,,,,,,
Winscombe CC,@club_winscombe,UK,,,85,5/23/2022,,,,,,,
Spaxton CC,@SpaxtonCricket,UK,,,73,5/23/2022,,,,,,,
Churchill CC,@Churchill__CC,UK,,,105,5/23/2022,,,,,,,
Congresbury CC,@CongresburyCC,UK,Somerset,WEPL… B&D,660,5/23/2022,,,,,,,
Claverham CC,@ClaverhamCC,UK,Somerset,,755,5/23/2022,,,,,,,
Blagdon CC,@blagdoncricket,UK,,,745,5/23/2022,,,,,,,
Abbots Leigh CC,@AbbotsLeighCC,UK,,Bristol & District league,722,5/23/2022,,,,,,,
Barrow Gurney CC,@BgccTwit,UK,Somerset,Bristol & District league… North Somerset league,575,5/23/2022,,,,,,,
Bohemians CC,@bohemians_cc,UK,,,705,5/23/2022,,,,,,,
University of Bristol Staff CC,@UBSCC_Owzat,UK,,BDCA,317,5/23/2022,,,,,,,
Pucklechurch CC,@PuckleCC,UK,,B&D,341,5/23/2022,,,,,,,
Bristol Eagles CC,@BristolEaglesCC,UK,,,96,5/23/2022,,,,,,,
Bristol New Elevens CC,@bristolNewXICC,UK,,Bristol & District league,56,5/23/2022,,,,,,,
St Mary Redcliffe CC,@StMRCC,UK,,B&D,204,5/23/2022,,,,,,,
Oldfield Park CC,@oldfieldparkcc,UK,,,121,5/23/2022,,,,,,,
Bitton CC,@Bitton_CC,UK,,,308,5/23/2022,,,,,,,
Portishead CC,@Portishead_CC,UK,,,626,5/23/2022,,,,,,,
Taverners CC,@TavenersCC,UK,,,377,5/23/2022,,,,,,,
Clackmannan County CC,@ClacksCCC,UK,Scotland,ESCA… SPCU,1284,5/23/2022,,,,,,,
Fauldhouse CC,@Fvcc1855,UK,Scotland,,482,5/23/2022,,,,,,,
Edinburgh Accies CC,@AcciesCricket,UK,Scotland,,1131,5/23/2022,,,,,,,
Kinross-shire CC,@KinrossCricket,UK,Scotland,,770,5/23/2022,,,,,,,
Meigle Women's CC,@meiglewomenscc,UK,Scotland,,198,5/23/2022,,,,,,,
East Renfrewshire CC,@EastRenCC1,UK,Scotland,,254,5/23/2022,,,,,,,
Mearns CC,@MearnsCricket,UK,Scotland,,64,5/23/2022,,,,,,,
Renfrew CC,@RenfrewCricket,UK,Scotland,,154,5/23/2022,,,,,,,
Irvine CC,@CricketIrvine,UK,Scotland,WDCU,59,5/23/2022,,,,,,,
Crigglestone CC,@CriggCC,UK,Yorkshire,Pontefract & DCL,431,5/23/2022,,,WF4 3LA,,,,
Kislingbury Temperance CC,@Kislingbury_CC,UK,Northamptonshire,NCL,119,5/23/2022,,,NN7 4AL,,,,
Edinburgh Uni CC,@ediunicricket,UK,Scotland,,1149,5/23/2022,,,,,,,
Broomhall CC,@BroomhallCC,UK,Scotland,ESCA,269,5/23/2022,,,,,,,
St Boswells CC,@boswells_st,UK,Scottish border,ESCA,116,5/23/2022,,,,,,,
Offerton CC,@OffertonCC,UK,Cheshire,,699,5/23/2022,,,,,,,
Oulton Park CC,@OultonParkCC,UK,Cheshire,Cheshire County Cricket League,1407,5/23/2022,,,,,,,
Romiley CC,@RomileyCC,UK,Cheshire,Cheshire County Cricket League,1295,5/23/2022,,,,,,,
Bramhall CC,@BramhallCC,UK,Cheshire,Cheshire County Cricket League,1818,5/23/2022,,,,,,,
Chester Boughton Hall CC,@CBHCC,UK,Cheshire,CCL,3100,5/23/2022,,,,,,,
Upton CC,@UptonCC,UK,Cheshire,Cheshire County Cricket League,1609,5/23/2022,,,,,,,
Weaverham CC,@Weaverham_CC,UK,Cheshire,,937,5/23/2022,,,,,,,
Oakmere CC,@OakmereCC,UK,Cheshire,,800,5/23/2022,,,,,,,
Port Sunlight CC,@PortSunlightCC,UK,,,1085,5/23/2022,,,,,,,
Bowdon Vale CC,@BowdonValeCC,UK,Cheshire,,388,5/23/2022,,,,,,,
Holmes Chapel CC,@Holmes_ChapelCC,UK,Cheshire,Cheshire Cricket League,699,5/23/2022,,,,,,,
Chester County Officers CC,@ChesterCOCC,UK,Cheshire,Cheshire Cricket League,1169,5/23/2022,,,,,,,
Tattenhall CC,@TattenhallCC,UK,Cheshire,,1704,5/23/2022,,,,,,,
Runcorn CC,@RuncornCC,UK,Cheshire,Cheshire County Cricket League,753,5/23/2022,,,,,,,
Barrow CC,@Barrow_CC,UK,Cheshire,Cheshire County Cricket League,615,5/23/2022,,,,,,,
Christleton CC,@ChristletonSwan,UK,Cheshire,Cheshire County Cricket League,795,5/23/2022,,,,,,,
Winsford CC,@winsford_cc,UK,Cheshire,,370,5/23/2022,,,,,,,
Kingsley CC,@kccscores,UK,Cheshire,,682,5/23/2022,,,,,,,
Cheadle Hulme CC,@CheadleHulmeCC,UK,,,1702,5/23/2022,,,,,,,
Didsbury CC,@DidsburyCC,UK,Manchester,,2740,5/23/2022,,,,,,,
Urmston CC,@UrmstonCC,UK,Cheshire,ECB Cheshire County League,1964,5/23/2022,,,,,,,
Oxton CC,@OxtonCC,UK,Cheshire,Cheshire ECB Premier League,2056,5/23/2022,,,,,,,
Alderley Edge CC,@AECC_cricket,UK,,,1925,5/23/2022,,,,,,,
Neston CC,@Neston_CC,UK,,,1082,5/23/2022,,,,,,,
Warrington CC,@warrington_cc,UK,Cheshire,Cheshire Cricket League,632,5/23/2022,,,,,,,
Congleton CC,@CongletonCCC,UK,Cheshire,Cheshire County Cricket League,776,5/23/2022,,,,,,,
The Groves CC,@GrovesCricket,UK,Cheshire,Cheshire Cricket League,464,5/23/2022,,,,,,,
Cheadle CC,@cheadle_cc,UK,,,646,5/23/2022,,,,,,,
Tetbury CC,@TetburyCC,UK,Gloucestershire,,985,5/23/2022,,,,,,,
Leicester Gents CC,@LeicesterGents,UK,,,178,5/23/2022,,,,,,,
Nevill Holt CC,@NevillHoltCC,UK,Leicestershire,,293,5/23/2022,,,,,,,
Sileby Town Ladies CC,@SilebyLadiesCC,UK,Leicestershire,Midlands Div 1,497,5/23/2022,,,,,,,
Fylde CC,@FyldeCricket,UK,,,989,5/23/2022,,,,,,,
Upwood CC,@c_upwood,UK,Cambridgeshire,Huntingdonshire County Cricket League... Rutland Cricket League,480,5/23/2022,,,PE26 2QQ,,,,
Tudhoe CC,@Tudhoe_cc,UK,Durham,Durham and North East Cricket League,1189,5/23/2022,,,,,,,
Philadelphia CCC,@PhiliCC,UK,Durham,North East Premier League,1001,5/23/2022,,,,,,,
Shotley Bridge CC,@ShotleyCricket,UK,,Dukes North East Premier League,1374,5/23/2022,,,,,,,
Hylton Colliery CC,@HyltonCC,UK,,Durham and North East Cricket League,579,5/23/2022,,,,,,,
Dawdon Welfare CC,@DawdonWCC,UK,Durham,Durham Cricket League,598,5/23/2022,,,,,,,
Burnopfield CC,@burnopfieldcri1,UK,,North East Premier League,964,5/23/2022,,,,,,,
Seaham Harbour CC,@HarbourSeaham,UK,,Durham and North East Cricket League,209,5/23/2022,,,,,,,
Greenside CC,@Greenside_CC,UK,,Northumberland and Tyneside Senior League,633,5/23/2022,,,,,,,
Felling CC,@FellingCC,UK,,NEPL,1878,5/23/2022,,,,,,,
Hetton Lyons CC,@HettonLyonsCC,UK,,,2216,5/23/2022,,,,,,,
Sacriston CCC,@SacristonCCC,UK,,NEPL,1728,5/23/2022,,,,,,,
Annfield Plain CC,@AnnfieldPlainCC,UK,,Northumberland and Tyneside Cricket League,975,5/23/2022,,,,,,,
Backworth CC,@BackworthCC,UK,,NTCL,1081,5/23/2022,,,,,,,
Blagdon Park CC,@BlagdonParkCC,UK,,Northumberland and Tyneside Cricket League,874,5/23/2022,,,,,,,
Percy Main CC,@percymaincc,UK,,Northumberland and Tyneside Cricket League,1248,5/23/2022,,,,,,,
Sunderland CC,@Slandcricket,UK,,,2038,5/23/2022,,,,,,,
Blaydon CC,@BlaydonCricket,UK,,NEPL,1442,5/23/2022,,,,,,,
Warkworth CC,@WarkworthCC,UK,,Northumberland and Tyneside Cricket League,1291,5/23/2022,,,,,,,
Ponteland CC,@PontCc,UK,Northumberland,Northumberland and Tyneside Cricket League,1705,5/23/2022,,,,,,,
Bates Cottages CC,@BatesCottages,UK,Northumberland,Northumberland and Tyneside Cricket League,1500,5/23/2022,,,,,,,
Northumberland CCC,@NlandCCC,UK,Northumberland,,1257,5/23/2022,,,,,,,
Alnmouth & Lesbury CC,@alnmouthlescc,UK,,Northumberland and Tyneside Cricket League,1174,5/23/2022,,,,,,,
Ulgham Village CC,@UlghamVillageCC,UK,Northumberland,,544,5/23/2022,,,,,,,
Morpeth CC,@MorpethCC,UK,,,1398,5/23/2022,,,,,,,
Bedlington CC,@Bedlingtoncc,UK,,Northumberland and Tyneside Cricket League,1112,5/23/2022,,,,,,,
Ashington CC,@ashingtoncc_,UK,Northumberland,,1998,5/23/2022,,,,,,,
Chester-le-Street CC,@cls_cricketclub,UK,,,2809,5/23/2022,,,,,,,
Benwell Hill CC,@hillcricket,UK,,North East Premier League,1770,5/23/2022,,,,,,,
Tynemouth CC,@TynemouthCC,UK,Northumberland,North East Premier League,2302,5/23/2022,,,,,,,
Newcastle CC,@NewcCricketClub,UK,,,2117,5/23/2022,,,,,,,
South Northumberland CC,@SouthNorthCC,UK,Northumberland,,2858,5/23/2022,,,,,,,
Eppleton CC,@EppletonCC,UK,,North East Premier League,2116,5/23/2022,,,,,,,
Willington CC,@WillingtonCC,UK,,North East Premier League,1220,5/23/2022,,,,,,,
Tynedale CC,@TynedaleCC,UK,,,2704,5/24/2022,,,,,,,
Consett CC,@consettcc,UK,Durham,Northumberland and Tyneside Cricket League,1464,5/24/2022,,,,,,,
Lanchester CC,@LanchesterCC,UK,,North East Premier League,1078,5/24/2022,,,,,,,
Benwell & Walbottle CC,@BenwellandWalbo,UK,,,710,5/24/2022,,,,,,,
Leadgate CC,@LeadgateCricket,UK,Durham,,809,5/24/2022,,,,,,,
Ryton CC,@ryton_cc,UK,,NTSCL,707,5/24/2022,,,,,,,
Seaton Burn CC,@SeatonBurnCC,UK,,Northumberland and Tyneside Cricket League,842,5/24/2022,,,,,,,
Burnmoor CC,@BurnmoorCricket,UK,,,1002,5/24/2022,,,,,,,
Blyth CC,@BlythCCOfficial,UK,Northumberland,NTCL,577,5/24/2022,,,,,,,
Monkseaton CC,@MonkseatonCC,UK,,,431,5/24/2022,,,,,,,
Corbridge CC,@CorbridgeCC,UK,,,777,5/24/2022,,,,,,,
Stocksfield CC,@Stocksfield_CC,UK,,,942,5/24/2022,,,,,,,
Wooler CC,@WoolerCC,UK,,Northumberland and Tyneside Cricket League,384,5/24/2022,,,,,,,
Riding Mill CC,@Ridingmillcc,UK,Northumberland,Northumberland and Tyneside Cricket League… West Tyne league,447,5/24/2022,,,,,,,
Whitley Bay CC,@CricketBay,UK,Tyneside,Northumberland and Tyneside Cricket League,408,5/24/2022,,,,,,,
Checkendon CC,@checkscricket,UK,Oxfordshire,BCL,452,5/24/2022,,,,,,,
Bretherton CC,@Bretherton_CC,UK,,,583,5/24/2022,,,,,,,
New Victoria CC,@Newvictoria_CC,UK,,SADACL,1074,5/24/2022,,,,,,,
Norley Hall CC,@NorleyHallCC,UK,,SADCL… Liverpool & District,842,5/24/2022,,,,,,,
Orrell Red Triangle CC,@orrellcricket,UK,Lancashire,,1074,5/24/2022,,,,,,,
New Brighton CC,@NBCC1856,UK,,Liverpool & District,1663,5/24/2022,,,,,,,
Old Xaverians CC,@oldxavscc,UK,Liverpool,LDCC,1917,5/24/2022,,,,,,,
Northern CC,@northernclub,UK,Liverpool,L&DCC,2719,5/24/2022,,,,,,,
Parkfield Liscard CC,@ParkfieldCC,UK,,Liverpool & District,1536,5/24/2022,,,,,,,
Maghull CC,@MaghullCC,UK,,Liverpool & District,3983,5/24/2022,,,,,,,
Alder CC,@AlderCC,UK,Liverpool,L&DCC,2012,5/24/2022,,,,,,,
Flowery Field CC,@FloweryFieldCC,UK,,,1140,5/24/2022,,,,,,,
Bury CC,@burycc,UK,Lancashire,GMCL,2683,5/24/2022,,,,,,,
Denton CC,@Denton_CC,UK,Manchester,GMCL,1494,5/24/2022,,,,,,,
Stand CC,@StandCricket,UK,,GMCL,1498,5/24/2022,,,,,,,
Edenfield CC,@EdenfieldCC,UK,,GMCL,1565,5/24/2022,,,,,,,
Atherton CC,@AthertonCC,UK,,Bolton Cricket League,1817,5/24/2022,,,,,,,
Blackrod CC,@BlackrodCC,UK,,Bolton Cricket League,1253,5/24/2022,,,,,,,
Little Lever CC,@LittleLeverCC,UK,,BCL,1449,5/24/2022,,,,,,,
Westhoughton CC,@Westhoughton_CC,UK,,Bolton Cricket League… GMCL Sunday Premier,2397,5/24/2022,,,,,,,
Tonge CC,@TongeCC,UK,,Bolton Cricket League,1318,5/24/2022,,,,,,,
Heaton Sports Club,@Heatonsports,UK,,,1743,5/24/2022,,,,,,,
Elton CC,@EltonCC,UK,,GMCL… B&DCA,2172,5/24/2022,,,,,,,
Heywood CC,@HeywoodCC,UK,Lancashire,,2541,5/24/2022,,,,,,,
Greenmount CC,@greenmountcc,UK,Lancashire,Lancashire League,2149,5/24/2022,,,,,,,
Swinton Moorside CC,@SwintonMoorside,UK,Manchester,,1135,5/24/2022,,,,,,,
Eagley CC,@EagleyCricket,UK,,Bolton League,821,5/24/2022,,,,,,,
Darcy Lever CC,@DLCC_57,UK,,GMCL,1100,5/24/2022,,,,,,,
Daisy Hill CC,@DHCC3,UK,,GMCL,1333,5/24/2022,,,,,,,
Whittle CC,@WhittleCC,UK,,,896,5/24/2022,,,,,,,
Bradshaw CC,@BradshawCricket,UK,,GMCL,2479,5/24/2022,,,,,,,
Morriston CC,@MorristonCC,UK,South Wales,SWCA,1184,5/24/2022,,,,,,,
Clydach CC,@ClydachCC,UK,South Wales,SWPCL… SWCA,2139,5/24/2022,,,,,,,
Swansea Civil Service CC,@SwanseaCS,UK,South Wales,,720,5/24/2022,,,,,,,
Llandarcy CC,@LlandarcyCC,UK,,,549,5/24/2022,,,,,,,
Llangennech CC,@llangennechcc,UK,,SWCA,1219,5/24/2022,,,,,,,
Dyffryn CC,@DyffrynCricket,UK,,,772,5/24/2022,,,,,,,
